player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
5458,Odion Jude Ighalo,Watford,Premier League,37,3271.0,Left Center Forward
43081,Almen Abdi,Watford,Premier League,32,2028.0,Right Midfield
23488,Mario Suárez Mata,Watford,"Premier League, Serie A",24,1276.0,Right Defensive Midfield
18672,Mark Bunn,Aston Villa,Premier League,10,938.0,Goalkeeper
27146,Aly Cissokho,Aston Villa,Premier League,18,1662.0,Left Back
42700,Micah Richards,Aston Villa,Premier League,24,2139.0,Right Center Back
4053,Ben Foster,West Bromwich Albion,Premier League,15,1406.0,Goalkeeper
20527,Jonas Olsson,West Bromwich Albion,Premier League,28,2101.0,Left Center Back
9628,James Grant Chester,West Bromwich Albion,Premier League,13,1009.0,Left Back
3099,Hugo Lloris,Tottenham Hotspur,Premier League,37,3470.0,Goalkeeper
3205,Kyle Walker,Tottenham Hotspur,Premier League,33,3060.0,Right Back
20005,Toby Alderweireld,Tottenham Hotspur,Premier League,38,3558.0,Right Center Back
3594,Danny Rose,Tottenham Hotspur,Premier League,24,2205.0,Left Back
10956,Eric Dier,Tottenham Hotspur,Premier League,37,3383.0,Right Defensive Midfield
3037,Mousa Sidi Yaya Dembélé,Tottenham Hotspur,Premier League,29,2339.0,Left Defensive Midfield
3585,Erik Lamela,Tottenham Hotspur,Premier League,34,2430.0,Right Wing
3094,Bamidele Alli,Tottenham Hotspur,Premier League,33,2529.0,Center Attacking Midfield
3043,Christian Dannemann Eriksen,Tottenham Hotspur,Premier League,35,3032.0,Left Wing
10955,Harry Kane,Tottenham Hotspur,Premier League,38,3473.0,Center Forward
4416,Max-Alain Gradel,AFC Bournemouth,Premier League,14,902.0,Left Midfield
4831,Nacer Chadli,Tottenham Hotspur,Premier League,29,1041.0,Left Wing
3665,Andrew Philip King,Leicester City,Premier League,25,1165.0,Right Defensive Midfield
19688,Jason Puncheon,Crystal Palace,Premier League,31,2693.0,Center Attacking Midfield
3589,Yannick Bolasie Yala,Crystal Palace,Premier League,26,2166.0,Left Wing
16309,Joel Robles Blázquez,Everton,Premier League,13,1228.0,Goalkeeper
4589,Séamus Coleman,Everton,Premier League,28,2477.0,Right Back
4629,José Ramiro Funes Mori,Everton,Premier League,28,2306.0,Left Center Back
3633,Gareth Barry,Everton,Premier League,33,2965.0,Left Defensive Midfield
26696,Arouna Koné,Everton,Premier League,25,1515.0,Left Wing
5836,Bryan Oviedo,Everton,Premier League,14,1038.0,Left Back
3469,Bakary Sako,Crystal Palace,Premier League,20,1118.0,Right Wing
4317,Kevin Mirallas,Everton,Premier League,23,1083.0,Left Wing
23635,John Ruddy,Norwich City,Premier League,27,2542.0,Goalkeeper
9930,Ryan Bennett,Norwich City,Premier League,22,1917.0,Right Center Back
21212,Russell Martin,Norwich City,Premier League,30,2813.0,Right Center Back
10967,Robert Brady,Norwich City,Premier League,36,3106.0,Left Back
9463,Alexander Banor Tettey,Norwich City,Premier League,23,2031.0,Right Defensive Midfield
9578,Jonathan Howson,Norwich City,Premier League,36,3080.0,Left Center Midfield
3286,Nathan Redmond,Norwich City,Premier League,35,2458.0,Right Midfield
9528,Steven Naismith,Norwich City,Premier League,23,1364.0,Center Attacking Midfield
4807,Cameron Jerome,Norwich City,Premier League,34,1859.0,Center Forward
3520,Jeffrey Schlupp,Leicester City,Premier League,24,1467.0,Left Back
22594,Matt Jarvis,Norwich City,Premier League,22,1150.0,Left Midfield
23663,Dieumerci Mbokani Bezua,Norwich City,Premier League,29,1697.0,Center Forward
9539,Vito Mannone,Sunderland,Premier League,19,1791.0,Goalkeeper
13286,Lamine Koné,Sunderland,Premier League,15,1375.0,Right Center Back
13846,Jan Kirchhoff,Sunderland,Premier League,15,1099.0,Center Defensive Midfield
3196,Wahbi Khazri,Sunderland,Premier League,14,1101.0,Left Midfield
3448,Martin Kelly,Crystal Palace,Premier League,13,1094.0,Right Back
4817,Joe Ledley,Crystal Palace,Premier League,19,1029.0,Left Center Midfield
31296,Sébastien Aymar Bassong Nguena,Norwich City,Premier League,32,2917.0,Left Center Back
3576,Martin Olsson,Norwich City,Premier League,24,1867.0,Left Back
9452,Gary O''Neil,Norwich City,Premier League,27,1858.0,Right Defensive Midfield
12325,Abdul Rahman Baba,Chelsea,Premier League,15,1070.0,Left Back
3472,Willian Borges da Silva,Chelsea,Premier League,35,2840.0,Right Wing
3483,Mamadou Sakho,Liverpool,Premier League,22,1934.0,Left Center Back
3537,Jack Butland,Stoke City,Premier League,31,2910.0,Goalkeeper
4724,Glen Johnson,Stoke City,Premier League,25,2271.0,Right Back
4035,Ryan Shawcross,Stoke City,Premier League,20,1767.0,Right Center Back
40121,Philipp Wollscheid,Stoke City,Premier League,31,2800.0,Left Center Back
3467,Erik Pieters,Stoke City,Premier League,35,3222.0,Left Back
3480,Geoff Cameron,Stoke City,Premier League,30,2449.0,Right Center Back
